"5";"3";"4";"Topic";"TotalGovernment_2";"Total government";"Expenditure by central and local government on education institutions and education. Reclaimed wrongfully paid student grants and loans, and allowances for school costs as well as interest received on student loans and EU subsidies for education are subtracted from this expenditure. The calculation of total expenditure on education excludes student loans and the repayments on these loans.";;"Double";"million euros";"0";"Impossible"
"6";;"4";"TopicGroup";"";"On education institutions";"Expenditure by central and local government on education institutions. This includes lump sum financing, operating costs and expenditure on contract research.";;;;;
"7";"4";"6";"Topic";"TotalOnEducationInstitutions_3";"Total on education institutions";"Expenditure by central and local government on education institutions. This includes lump sum financing, operating costs and expenditure on contract research.";;"Double";"million euros";"0";"Impossible"
"8";"5";"6";"Topic";"LumpSumFinancing_4";"Lump sum financing";"Financing of education institutions intended for the provision of education and other non-education ancillary services (and research at universities). The institution’s governing body school receives this as a block grant without any regulatory spending conditions set by the government. The central government passes part of the European subsidies it receives on to education institutions via the block grant. For primary and secondary education, the funds spent on municipal investment in school buildings are included under the lump sum financing.
For colleges and universities block grant funding also includes the funding of the research they need to perform in accordance with their legal obligations.
";;"Double";"million euros";"0";"Impossible"
"9";"6";"6";"Topic";"ContractResearch_5";"Contract research";"The government contracts universities to carry out research on its behalf. The education institutions consider contract research as a commercial activity done at the request of third parties such as the government.";;"Double";"million euros";"0";"Impossible"
"10";"7";"6";"Topic";"OperatingCosts_6";"Operating costs";"Operating costs include the costs of monitoring the quality of education and of policy making and administrative work of the Ministry of Education, Culture and Science, other ministries and local authorities. They also include the subsidies given to school support institutes, etc. These costs are attributed in proportion to the education institutions.";;"Double";"million euros";"0";"Impossible"
"11";;"4";"TopicGroup";"";"Subsidies and tax benefits";"The government subsidises participation in education and training by providing allowances for school costs and student grants and loans. These serve to compensate completely or in part students or their parents for their expenditure on tuition fees, books and materials, public transport and the cost of living. Students with a disability receive government allowances for provisions that enable them to participate in regular education. The government also provides child care allowances to households and subsidies to preschools and day care institutions. Part of it is related to the educational component of the activities of three-year-olds in preschool and day care and is counted as expenditure on education. The government also gives subsidies and tax benefits to companies to provide transport for pupils and subsidies and tax benefits that partly compensate companies for the costs they incur for supervising trainees and apprentices at various levels (vmbo, mbo and hbo) that combine learning with work experience. The student loans are not included in the total expenditure on education.";;;;;
"12";"8";"11";"Topic";"TotalSubsidiesAndTaxBenefits_7";"Total subsidies and tax benefits";"The government subsidises education and training by providing allowances for school costs and student grants and loans. These serve to compensate completely or in part students or their parents for their expenditure on tuition fees, books and materials, public transport and the cost of living. Students with a disability receive government allowances for provisions that enable them to participate in regular education. The government also provides child care allowances to households and subsidies to preschools and day care institutions. Part of it is related to the educational component of the activities of three-year-olds in preschool and day care and is counted as expenditure on education. The government also gives subsidies and tax benefits to companies to provide transport for pupils and subsidies and tax benefits that partly compensate companies for the costs they incur for supervising trainees and apprentices at various levels (vmbo, mbo and hbo) that combine learning with work experience. The student loans are not included in the total expenditure on education.";;"Double";"million euros";"0";"Impossible"
"13";"9";"11";"Topic";"EducationComponentPreschoolDayCare_8";"Education component preschool, day care";"For children from three years on preschool and day care offer an educational component in the activities of the children, meant to stimulate the development of the child. The government provides subsidies to preschools and day care institutions and child care allowances to households. Part of it is related to the educational component of the activities of three-year-olds in preschool and day care and is counted as expenditure on education.";;"Double";"million euros";"0";"Impossible"
"14";"10";"11";"Topic";"TransportOfPupils_9";"Transport of pupils";"Local authorities provide subsidies to transport companies for transporting pupils. This transport is intended for pupils in primary or secondary education (including special needs education) who cannot travel independently because of a disability or the distance between home and school.";;"Double";"million euros";"0";"Impossible"
"15";"11";"11";"Topic";"ProvisionsForDisabledStudents_10";"Provisions for disabled students";"From primary to higher education, pupils and students with a disability (or their parents) receive a government allowance for provisions that enable them to participate in regular education. These include provisions such as an interpreter for deaf students, an adapted computer, adjusted school furniture and reading and writing aids. For students in senior secondary vocational and higher education these also include provisions that enable them to travel to and from their education institution, such as an allowance for taxi costs, an adapted car on loan, or compensation for adaptations to their own car combined with a kilometre-based allowance.";;"Double";"million euros";"0";"Impossible"
"16";"12";"11";"Topic";"AllowanceForSchoolCosts_11";"Allowance for school costs";"Allowance paid by central government to compensate students or parents for the costs of education. These contributions are primarily for (parents of) students older than 18 in secondary or students younger than 18 in senior secondary vocational education or basic secondary education for adults. This allowance does not have to be repaid to the government.";;"Double";"million euros";"0";"Impossible"
"17";"13";"11";"Topic";"SupervisingCostsOfCompanies_12";"Supervising costs of companies";"The government provides subsidies and tax benefits to companies to stimulate the creation of apprenticeship places and trainee placements. These tax benefits and subsidies partly compensate the companies for the costs of supervising trainees and apprentices. The subsidies have been partially contributed by the European Union. The trainee places are for students in senior secondary vocational education (mbo-bol) or full-time higher professional education (hbo). The apprenticeship places are for students in preparatory secondary vocational education (vmbo), the apprenticeship-based track of senior secondary vocational education (mbo-bbl) or the apprenticeship-based track of higher professional education (hbo).";;"Double";"million euros";"0";"Impossible"
"18";"14";"11";"Topic";"StudentGrants_13";"Student grants";"Grants paid by central government to compensate students or parents for the costs of studying. This includes the grants under the former student grants regulation applicable to 2005 for students aged 18 years and older in senior secondary vocational education, and the first-year of the supplementary grant and part of the basic grant, supplementary grant and the student travel card that were converted to a gift after initially being a conditional loan. These grants do not have to be repaid to the government.";;"Double";"million euros";"0";"Impossible"
"19";"15";"11";"Topic";"StudentLoans_14";"Student loans";"Loans by central government to students or parents to contribute to the costs of studying. These loans are conditional and unconditional. The basic grant, supplementary grant and the student travel card are conditional loans. A conditional loan will be converted to a gift on completion of the student’s studies within a given period. If a student does not complete his/her studies within this period it will remain a loan and will have to be repaid. The conversion of a loan to a gift is a cancellation of the loan. Cancelled loans are deducted from the conditional loans.
The interest-bearing loans and loans intended especially for payment of tuition fees are unconditional loans. An unconditional loan always has to be repaid. Student loans are not included in the total expenditure on education, as they are not considered real expenditure because they are repaid in due course.";;"Double";"million euros";"0";"Impossible"
"20";;"4";"TopicGroup";"";"Receipts";"Receipts of central government are refunded student grants and loans, returned allowances for school costs, interest and repayments on student loans as well as EU subsidies for education. The calculation of total expenditure on education excludes repayments on these loans.";;;;;
"21";"16";"20";"Topic";"TotalReceipts_15";"Total receipts";"Receipts of central government are refunded student grants and loans, returned allowances for school costs, interest and repayments on student loans as well as EU subsidies for education. The calculation of total expenditure on education excludes repayments on these loans.";;"Double";"million euros";"0";"Impossible"
"22";"17";"20";"Topic";"EUSubsidies_16";"EU subsidies";"The Dutch government receives an annual sum from the European Social Fund (ESF) of the European Union for several long-term projects in the field of education. These are subsidies to stimulate the provision of apprenticeships and trainee placements and to support education of underprivileged youth so that they get a better working position. The government passes the subsidies on to schools, colleges and universities as well as companies that offer apprenticeship places and trainee placements.";;"Double";"million euros";"0";"Impossible"
"23";"18";"20";"Topic";"RepaidStudentGrantsAndLoansAnd_17";"Repaid student grants and loans and…";"Repaid student grants and loans and allowances for school costs. Allowances for school costs and student grants and loans have to be repaid if they are unjustified, or if the amount paid is too high.";;"Double";"million euros";"0";"Impossible"
"24";"19";"20";"Topic";"InterestOnStudentLoans_18";"Interest on student loans";"Interest received by the central government on both conditional and unconditional loans. The interest-bearing loans and loans intended especially to pay the tuition fee are unconditional. The basic grant, supplementary grant and the student travel card are conditional loans. If a student does not complete his or her study within a given time, the conditional loan is not converted into a gift but remains a loan on which interest must be paid.";;"Double";"million euros";"0";"Impossible"
"25";"20";"20";"Topic";"RepaymentsOnStudentLoans_19";"Repayments on student loans";"Repayments on both conditional and unconditional loans. The interest-bearing loans and loans intended especially to pay the tuition fee are unconditional. The basic grant, supplementary grant and the student travel card are conditional loans. If a student does not complete his or her study within a given time, the conditional loan is not converted into a gift but remains a loan on which interest must be paid.
The calculation of total expenditure on education excludes repayments on these loans.
The repayments are not considered real receipts because they are repayments on previously received loans.";;"Double";"million euros";"0";"Impossible"
"26";;"2";"TopicGroup";"";"Households";"Expenditure by households on education institutions and other expenditure on education. Child care allowances, allowances for school costs, provisions for students with a disability, scholarships of companies and part of the student grants and loans are subtracted from this expenditure. The calculation of total expenditure on education excludes repayments on these loans and compensation for the cost of living.";;;;;
"27";"21";"26";"Topic";"TotalExpenditureByHouseholds_20";"Total expenditure by households";"Expenditure by households on education institutions and other expenditure on education. Child care allowances, allowances for school costs, provisions for students with a disability, scholarships of companies and part of the student grants and loans are subtracted from this expenditure. The calculation of total expenditure on education excludes repayments on these loans and compensation for the cost of living.";;"Double";"million euros";"0";"Impossible"
"28";;"26";"TopicGroup";"";"On education institutions";"Expenditure by households on education institutions comprises tuition fees for government subsidised and private education institutions, parental contributions and contributions for school activities.";;;;;
"29";"22";"28";"Topic";"TotalOnEducationInstitutions_21";"Total on education institutions";"Expenditure by households on education institutions comprises tuition fees for government subsidised and private education institutions, parental contributions and contributions for school activities.";;"Double";"million euros";"0";"Impossible"
"30";"23";"28";"Topic";"TuitionFeesSubsidisedInstitutions_22";"Tuition fees, subsidised institutions";"Expenditure by households on tuition fees for schools, colleges and universities that are subsidised by the government.";;"Double";"million euros";"0";"Impossible"
"31";"24";"28";"Topic";"TuitionFeesPrivateInstitutions_23";"Tuition fees, private institutions";"Expenditure by households on tuition fees for private schools, colleges and universities.";;"Double";"million euros";"0";"Impossible"
"32";"25";"28";"Topic";"ParentalContributionSchoolActivities_24";"Parental contribution, school activities";"Expenditure by households on voluntary parental contributions and on school activities such as excursions, school trips, etc.";;"Double";"million euros";"0";"Impossible"
"33";;"26";"TopicGroup";"";"Other expenditure on education";"Expenditure by households other than on education institutions but necessary to participate in regular education, such as expenditure on books, education tools, materials, non-subsidised public transport between home and school and private tutoring. Household expenditure on three-year-olds attending preschool or day care is also included, for as far as the expenditure relates to the education component in the activities of the children. Also includes payments of interest and repayments on student loans and refunds of wrongfully received student grants and loans and allowances for school costs. The calculation of total expenditure on education excludes repayments on student loans.";;;;;
"34";"26";"33";"Topic";"TotalOtherExpendituresOnEducation_25";"Total other expenditures on education";"Expenditure by households other than on education institutions but necessary to participate in regular education, such as expenditure on books, education tools, materials, non-subsidised public transport between home and school and private tutoring. Household expenditure on three-year-olds attending preschool or day care is also included, for as far as the expenditure relates to the education component in the activities of the children. Also includes payments of interest and repayments on student loans and refunds of wrongfully received student grants and loans and allowances for school costs. The calculation of total expenditure on education excludes repayments on student loans.";;"Double";"million euros";"0";"Impossible"
"35";"27";"33";"Topic";"EducationComponentPreschoolDayCare_26";"Education component preschool, day care";"For children from three years on preschool and day care offer an educational component in the activities of the children, meant to stimulate the development of the child. The household expenditure on preschool and day care that is related to the educational component of the activities of three-year-olds in preschool and day care is counted as expenditure on education.";;"Double";"million euros";"0";"Impossible"
"36";"28";"33";"Topic";"BooksMaterialsPublicTransportAnd_27";"Books, materials, public transport and…";"Books, materials, public transport and private tutoring. Expenditure outside education institutions on books, education tools, materials, non-subsidised public transport between home and school and private tutoring. This expenditure is necessary to participate in regular education.";;"Double";"million euros";"0";"Impossible"
"37";"29";"33";"Topic";"WrongfullyReceivedStudentGrantsAnd_28";"Wrongfully received student grants and…";"Wrongfully received student grants and loans and allowances for school costs. Student grants and loans and allowances for school costs have to be repaid if the government has either wrongfully paid them or paid too much to households.";;"Double";"million euros";"0";"Impossible"
"38";"30";"33";"Topic";"InterestOnStudentLoans_29";"Interest on student loans";"Interest paid on both conditional and unconditional loans. The interest-bearing loans and loans intended especially to pay the tuition fee are unconditional loans. The basic grant, supplementary grant and the student travel card are conditional loans. If a student does not complete his or her study within a given time, the conditional loan is not converted into a gift but remains a loan on which interest must be paid.";;"Double";"million euros";"0";"Impossible"
"39";"31";"33";"Topic";"RepaymentsOnStudentLoans_30";"Repayments on student loans";"These are repayments of both conditional and unconditional loans. The interest-bearing loans and loans intended especially to pay the tuition fee are unconditional loans. The basic grant, supplementary grant and the student travel card are conditional loans. If a student does not complete his or her study within a given time, the conditional loan is not converted into a gift but remains a loan on which interest must be paid. The calculation of total expenditure on education excludes repayments on student loans. The repayments are not considered real receipts because they are repayments on previously received loans.";;"Double";"million euros";"0";"Impossible"
"40";;"26";"TopicGroup";"";"Allowances received";"Allowances that students or parents receive from the government or companies as a compensation for the costs of education or study. These include the allowance for school costs, student grants and loans, provisions for students with a disability as well as scholarships of companies. Also the child care allowances households receive for their three year old children attending day care are included, for as far as it relates to the education component in the activities of the children. Allowances for the cost of living and the received student loans are excluded from the calculation of total expenditure on education.";;;;;
"41";"32";"40";"Topic";"TotalAllowancesReceived_31";"Total allowances received";"Allowances that students or parents receive from the government or companies as a compensation for the costs of education or study. These include the allowance for school costs, student grants and loans, provisions for students with a disability as well as scholarships of companies. Also the child care allowances households receive for their three year old children attending day care are included, for as far as it relates to the education component in the activities of the children. Allowances for the cost of living and the received student loans are excluded from the calculation of total expenditure on education.";;"Double";"million euros";"0";"Impossible"
"42";"33";"40";"Topic";"ChildCareAllowanceEducationComponent_32";"Child care allowance education component";"For children from three years on day care offers an educational component in the activities of the children, meant to stimulate the development of the child. The government and companies provide child care allowances to households. Part of it is related to the educational component of the activities of three-year-olds in day care and is counted as expenditure on education.";;"Double";"million euros";"0";"Impossible"
"43";"34";"40";"Topic";"ProvisionsForDisabledStudents_33";"Provisions for disabled students";"From primary to higher education, pupils and students with a disability (or their parents) receive a government allowance for provisions that enable them to participate in regular education. These include provisions such as an interpreter for deaf students, an adapted computer, adjusted school furniture and reading and writing aids. For students in senior secondary vocational and higher education these also include provisions that enable them to travel to and from their education institution, such as an allowance for taxi costs, an adapted car on loan, or compensation for adaptations to their own car combined with a kilometre-based allowance.";;"Double";"million euros";"0";"Impossible"
"44";"35";"40";"Topic";"AllowancesForSchoolCosts_34";"Allowances for school costs";"Grants of the central government to compensate students or parents for the costs of education. These contributions are primarily for (parents of) students older than 18 in secondary or students younger than 18 in senior secondary vocational education or basic secondary education for adults. These contributions do not have to be repaid to the government.";;"Double";"million euros";"0";"Impossible"
"45";"36";"40";"Topic";"ScholarshipsOfCompanies_35";"Scholarships of companies";"Students in higher education are supported in the cost of their education through scholarships that are made available by companies.";;"Double";"million euros";"0";"Impossible"
"46";"37";"40";"Topic";"StudentGrantsForSchoolFeesBooks_36";"Student grants for school fees, books,…";"Student grants for school and college fees, books, materials and public transport. Grants of the central government to compensate students or parents for the costs of studying. These grants do not have to be repaid to the government. This is the part of the grant that is meant to compensate for the costs of school and college fees, books, materials and public transport.";;"Double";"million euros";"0";"Impossible"
"47";"38";"40";"Topic";"StudentGrantsForTheCostOfLiving_37";"Student grants for the cost of living";"Grants of the central government to compensate students or parents for the costs of studying. These grants do not have to be repaid to the government. This is the part of the grant that is meant to compensate for the cost of living, such as rent, fixed expenses and groceries. As this is general expenditure not specifically required for participation in education, these allowances are not included in the calculation of the total of the expenditure on education.";;"Double";"million euros";"0";"Impossible"
"48";"39";"40";"Topic";"StudentLoans_38";"Student loans";"Loans by central government to students or parents to contribute to the costs of studying. These loans are conditional and unconditional. The basic grant, supplementary grant and the student travel card are conditional loans. A conditional loan will be converted to a gift on completion of the student’s studies within a given period. If a student does not complete his/her studies within this period it will remain a loan and will have to be repaid. The conversion of a loan to a gift is a cancellation of the loan. Cancelled loans are deducted from the conditional loans.
The interest-bearing loans and loans intended especially for payment of tuition fees are unconditional loans. An unconditional loan always has to be repaid. Student loans are not included in the total expenditure on education, as they are not considered real expenditure because they are repaid in due course.";;"Double";"million euros";"0";"Impossible"
"49";;"2";"TopicGroup";"";"Companies";"Expenditure by companies and non-profit organisations on education institutions and other expenditure on education. The subsidies and tax benefits that partly compensate companies for the costs of supervising trainees and apprentices are subtracted from their expenditure. Subsidies for transport of pupils are excluded in the calculation of total expenditure on education.";;;;;
